i3-dab5| accepted; 
sza3-zu| the midwife,
ki {d}en-lil2-la2-ta ba-zi| from (the account of) Enlila deducted; 
ba-usz2 u4 1(u) 3(disz)-kam| slaughtered, 13th day; 
1(asz) nig2-ti| 1 Nigti 
a-ki-a-ni| Akiani, 
u4-a bar-gu10 bi2-in-du11-ga-am3| When she cries “alas, my liver,” 
mu-un-gar3-gu10 gi-gur| In my field, my farmer returns the gigur container (empty?) for me 
tigi {d}ba-ba6-kam| A tigi of Baba. 
geme2 u4 1(disz)-sze3 a-sza3 {d}szara2-ta e2-masz-sze3 gi-zi ga6-ga2| Ø female laborer days, from field Šara to Emaš fodder-reed carried.
me-sag2| Mesag, 
inim du11-ga an {d}en-lil2-la2 1(disz)-kam sag a-ba-a mu-un-ga2-ga2| It is the command of An and Enlil. Who can oppose it? 
1(gesz'u) 6(gesz2) 4(u) u8| 1000 ewes, 
ku6-gu10 suhur-tur-gu10 he2-ga-me-da-ku4-ku4| My fish, my suhurtur carp, may it too enter with you 
ki na-lu5-ta ba-zi| from (the account of) Nalu booked out. 
ga2-e-me-en {d}en-lil2-sze3 gal2-la-me-en ki ag2-ga2 e2-kur-ra-me-en| It is me, I am present facing(?) Enlil, I am the beloved of the Ekur 
bi2-in-du11-ga| The one who caused that to be said (this about him)(?) 
1(disz) sila4 ensi2 adab{ki}| 1 lamb, governor of Adab; 
{d}utu ka-ga2 inim ba-ni-in-gal2| Utu endowed me with eloquence (?); 
mu-un-tum2-ma-na| which they had brought to him —
2(disz) kusz gu4 mu 2(asz) a-gar nu-gu7-a| 2 hides of two-year oxen, not tanned, 
azlag2| fuller
{gesz}dam-szi-lum| a type of plant; 
lu2 gesz-i3-me| sesame oil workers;
masz-da3 dumu a2-tab-ba mu 1(gesz'u) 4(gesz2) i3-ak| Mašda, son of Atab, 840 years he ruled; 
{gesz}al {gesz}dupsik nig2 uru2 du3-du3-dam| The hoe and the earth-carrying basket are those that are to build the city 
nam-ti-la-ni-sze3| for his life,
mu-da-e| made merry under him. 
ur-su4-su4 i3-dab5| Ur-susu received; 
ki-tusz ki ag2-ga2-ni giri3 kur ba-ra-an-dab5| Lugalbanda took to a different path (away from) his beloved dwelling 
u4 ul kalam ki gar-ra-ta za3 ug lu-a-sze3| From the distant day when the land was founded to the (current) limit of teeming people 
kiszib3 lu2-{d}szara2 dumu al-la| sealed document of Lu-Šara, the son of Alla. 
iti szu-numun-a| month, 'to seed';
5(disz) sila3 kasz 5(disz) sila3 ninda 5(disz) gin2 szum2| 5 sila3 beer, 5 sila3 bread, 5 shekels garlic, 
ur-ba-gara2| Ur-bagara, 
pa5 a du11-ga a-sza3-ga na-an-tum2-e mun-na-am3 i3-gal2| One should not irrigate(?) a field with irrigation ditches(?), there will be salinization 
gaba ku3-ga2-a u4-gin7 e3-ni| Come out upon my holy chest like sunlight 
mu-sar-ra-ba szu bi2-ib2-ur3-a| who shall erase its inscription 
si-a {d}inanna me kur-ra-ke4| Be satisfied, Inanna! This is the rite of the netherworld that is being completed 
u3-mu-un-bi ib2-ta-ib2 sag-ki-a mu-un-DU| that their lord has become enraged with them and walks in anger? 
{d}utu he2-em-mi-tusz| I let Utu dwell.
{d}er3-ra-qu2-ra-ad| Erra-qurad, 
ki-ta im-ta-e3| he made go up out from the ground. 
mu {d}szu-{d}suen lugal uri5{ki}-ma-ke4 ma-da za-ab-sza-li{ki} mu-hul| year: “Šu-Suen, the king of Ur, the territory of Zabšali destroyed;” 
3(disz) geme2-esz2(SZU)-dam| (and) 3 (mana wool for) Geme-ešdam 
gesz-gi4-gal2-bi-im| Ĝišgigal. 
dumu szu-{d}iszkur| son of Šū-Adda,
{e2}szutum ki-ag2-ga2-ni| her beloved storehouse, 
x-x {gesz}as4-lum-ma {gesz}dib-dab {gesz}ki-la2-bi| The design(?), the measuring rod, the waterclock and its(?) weight 
asz2-nun-na{ki}| of Ešnunna, 
nam-ni ma-ni-ku5-ra2| by whom he has sworn for me, 
maszkim-bi| the officers (responsible) for it 
di-til-la inim pu-uh2-ru-ma-ka szu gi4-gi4 nu-gal2| There is no revocation of a final verdict, the word of the assembly 
udu ur-bar-ra gu7-a| sheep eaten by a wolf 
8(disz) ug3-IL2 igi 4(disz)-gal2 u4 3(u)-sze3| 8 porters, 1/4, for 30 days,
im-ma-ta-szub-bu-sza-a| had fallen out,
ki-ba ma2-u5| and in that place the cabin-boat
ka-pirig| exorcist/incantation priest 
1(gesz2) 2(u) 7(disz) erin2 u4 3(u)-sze3| 87 labor-troops for 30 days,
usz2 lu2-dingir-ra| dead: Lu-dingira, 
ensi2 asz-e| not a single ruler 
e2 {d}en-lil2| and the temples of Enlil,
sze-ba| barley rations of 
ibila-a-ni he2-a| shall become his heir.
e2 gi-ne2-da e2 du10-ge-da| that he might keep the House safe, keep it in harmony,
siskur2-ra du11-ga-na igi zi bar-mu-sze-eb| When he recites a prayer, look kindly upon him. 
lugal-a-ni-ir| whom to her master
mu-tum3-mu-sze3| to be carried 
mu ur-bi2-lum{ki} ba-hul| year: “Urbilum was destroyed .” 
lugal an-ub-da limmu2-ba| and king of the four world quarters, 
dam sza3-ge pa3-da| the spouse chosen by the heart 
{a-sza3}asza5 apin-la2-sze3| a field for cultivation
kin-bi 5/6(disz) sar| its work: 5/6 (volume-)sar; 
mu-na-ni-in-du3| he built for her. 
me3-a nim-gin7 gir2-gir2-re-me-en| In battle I am the one flashing like lightning 
nin-tur-tur-mu| of Ninturturmu 
arhusz-a i-im-me| Like a cow not in the proximity of its calf, (I) shout with compassion 
mu sa-am-su2-i-lu-na lugal-e gan2 ki-sur-ra{ki} sa-bu-um ka-si-il-la2 bi2-in-ku4| the year (in which) Samsu-iluna the king the region of Kisurra (and) Sabum brought to praise.
zi| In order to faithfully take care of(?) the seven great thrones/rulers 
dumu ki-ag2-ni| his beloved child, 
e2 du-un-nu-um| fortified house 
ki-ag2 {d}nanna| the beloved of Nanna,
dumu ur-{d}szul-pa-e3| son of Ur-Sulpa’e,
1(asz) GAN2 ur-e2-masz dumu ur-sila-luh| 1 aš-c-(worker), ‘field’: Ur-Emaš, son of Ur-silaluḫ, 
6(gesz2) 1(u) ninda| 250 loaves of bread 
ki lu2-gi-na-ta| from Lugina(’s account) 
sim{muszen} e2-bi ba-ra-an-dal-a-gin7 iri-ni-sze3 nu-gur-re-de3| like a swallow that has flown from its house, he should never return to his city; 
inim ku3-zu giri17 szu sza-ra-ab-gal2| he salutes your holy words. 
dingir he2-me-en-ze2-en inim ga-mu-ra-an-du11| if you are gods, I will talk with you; 
e2 e2-dul4-la-bi nu11 an-sza3-ge diri-ga-am3| The ‘covered house’ of the house is a light floating in the middle of the heavens. 
e2 utu-ginx ki-gal-la gub-ba| House positioned over its foundations like a storm, 
mu-un-gur11-gu10 sig-ta di-ga2 sig-sze3 ha-ba-ab-de6 mu-un-gur11-gu10 ga-am3-du11| My possessions coming from the lowland are brought back to the lowland, I must cry “My possessions!” 
szesz-gu10 u4 ri-a na-ag2 ba-tar-ra-ba| My brother, long ago, when fate was decreed 
en gal {d}en-ki ki ni2-te-na-ke4 inim sza3-bi ba-x-zu| The great lord Enki intuitively grasped the substance of the plan. 
ki-ag2-ga2-ni| beloved by him,
2(u) la2 2(disz) {gesz}mes gid2| 18 “ḪAR” objects of long boxwood trees; 
dumu ku-du-ur-ma-bu-uk| son of Kudur-mabuk,
szu-ba-ra| “released”; 
nig2-dab5-bi lu2 nu-da-tuku| these requisitions were owed to no person. 
iti 4(disz)-kam iti diri(SI) 1(disz)-am3 sza3-ba i3-gal2| xxx 
gidri szum2-ma| given the scepter 
u4 kur2-sze3 lu2 lu2-ra inim nu-ga2-ga2-ne-a| That in future one against the other shall not make a complain
{d}a-nun-na mu-na-sug2-sug2-ge-esz| The Anunna serve him, 
3(disz) masz2 ga| 3 suckling goats, 
3(disz) 1/2(disz) ninda 3(disz) kusz3 gid2 4(disz) kusz3 dagal 2(disz) kusz3 bur3| 3 1/2 ninda 3 cubits the length, 4 cubits the width, 2 cubits the depth, 
hu-wa-wa {d}gilgames3-ra gu3| Huwawa spoke to Gilgamesh 
2(asz) tug2 aktum2| 2 aktum-garments, 
nu-mu-u3-gi4-esz2 nu-mu-u3-dagal-e-sza-a u4 la-ba-da-ab-su3-ra2-asz| To those who did not return and spread out, the days will not be long!” 
mu-na-dim2| he fashioned for her, 
ur-gu2-edin-na| may Ur-Gu’edina
za3 he2-bi2-in-tag szu li-bi2-in-dag| He destroyed it but did not abandon it— 
ki ab-ba-sa6-ga-ta| out of Abbasaga('s account) 
iti sze-kar-ra-gal2-la| month: “Barley at the dock;” 
e2 RU-lugal-ka| the house of a royal subordinate 
{gesz}tukul uru2-ke4 sag gaz i3-ak-e tesz2-bi i3-gu7-e| The weapons in the city smash heads and consume indiscriminately. 
mu 2(u) 1(disz) i3-ak| 21 years he ruled; 
1(gesz2) 3(u) 3(disz) dumu 1(ban2) 5(disz) sila3-ta| 93 children, 1 ban2 5 sila3 (= 15 sila3) each 
{d}nin-gir2-su ba-gara2-ra| To Ningirsu of the Bagara (temple), 
{d}en-lil2-la2| by Enlil,
nam-munus-sa2-e sa6-ga hi-li-e si| Beautified by (her) womanhood(?), filled by(?) allure 
szu a-wi-il-{d}utu u3 {d}suen-u2-se-el-li| (via) Awīl-Šamaš and Sîn-uselli; 
1(gesz2) 3(u) 7(disz) ninda gid2 1/2(disz) sar-ta| 97 ninda long at 1/2 sar per (ninda), 
tir ma-sar i3-dab5| the Masar-woods took in charge; 
4(gesz'u) szagax(LU2xESZ2)| 2400 prisoners; 
ug3-sze3 im-ta-an-gar-re-esz| he established for the people. 
nim ur-dab| cub fly 
gu4-gin7 saman ul4-la-bi szub-bu-de3 gu2 ki-sze3 la2-e-de3| - so as quickly to subdue it like a roped ox, to bow its neck to the ground; 
ki ad-da-kal-la| with Adda-kalla.
sa2-du11-am6| regular offerings; 
7(gesz2) ninda durunx(KU.KU)-na| 420 loaves of bread that have sat 
sag*-ra gir3 us2-sa| a foot planted on the head. 
geme2-{d}nun-gal-ke4| did Geme-Nungal 
gan-kun-sig| Gan-kunsig, 
nig2 sag2 nu-di-dam| When you divide up the cosmic powers (it results in) a true lot that cannot be dispelled 
zar3 tab-ba| sheaves piled up, 
gaba-ri| a rival 
iti szu-numun| month: “Sowing;” 
e gu4| ox hide 
ugula da-a-ga| foreman: Da’aga; 
mes-lam-ta-e3-a| Meslamta'ea  
a-sza3 us2-sa dumu lugal| field bordering on Prince; 
ki {d}nin-urta-mu-ba-li2-it, dumu a-wi-li-ia| from Ninurta-muba(l)liṭ, son of Awīliya,
i-bi2-zu hur-ma-ab giri17-zu hur-ma-ab| “Lacerate your eyes for me, lacerate your nose for me. 
esz3 e2-babbar2-ra-sze3| who for the Ebabbar shrine 
in-tuku| owns.
2(u) 1(disz) udu bar-gal2| 21 sheep, with fleece, 
u2-sal-la-asz in-ne-eb2-ta-nu2-u3-de3 %a a-bur-ri szu2-ur-bu-s,i-szi-na| that they might be bedded down in fine pastures,
e2-ninnu me-be2 an ki-a pa e3 mu-ak-ke4| “I will make the ‘me’ of Eninnu emerge in heaven and on earth. 
sza3-gal udu niga| fodder for sheep, grain-fed, 
u4-ba {d}marduk| then Marduk,
la2-ia3 1/2(disz) ma-na 7(disz) gin2| the deficit: 1/2 mana 7 shekels: 
lu2 e2-ninnu| the man by whom the Eninnu (temple) 
er2-bi u3-mu-un-ga2 mu-un-ga2-ga2-dam| They are beginning their laments about my lord! 
mu us2-sa {d}szu-{d}suen lugal-e si-ma-num2{ki} mu-hul| year after: “Šu-Sin, the king, Simanum destroyed;” 
iti u4 2(u) 3(disz) ba-zal| the month, day 23 passed; 
szilam tur3-bi-ta ba-ra-ra-asz unu3-bi bi2-in-us2-u2-us2| they drove the cows out of their pens and compelled their cowherds to follow them. 
dumu ur-{d}iszkur| son of Ur-Iškur. 
1(disz) kusz 1(disz) udu| 1 skin 1 sheep, 
iti diri 2(disz)-am3| xxx 
du6 gu-zu-ma-ka-ta| from the Mound of Guzum 
dumu iri-bar-re| son of Iri-bare. 
dingir gu3-de2-a| is the (personal) god of Gudea, 
munus nu-u3-tu4 igi bi2-du8-am3 igi bi2-du8-am3 a-na-gin7 an-ak| “Did you see the woman who never gave birth?” “I saw her.” “How does she fare?” 
nin kur sikil| the mistress, the pure mountain, 
la2-ia3 3(disz) 1/2(disz) ma-na n gin2 ku3-babbar| deficit(?): 3 1/2 minas n shekels silver, 
x x x bara2 an-na-da gid2-da-bi-a a-nir ba-da-ab-si| A lament filled(?) the dais that extended with the heavens(?) 
{d}da-mu {uruda}dur10-tab-ba hu-mu-sig3-ge| may Damu strike with his axe, 
dumu geme2-{gesz}dar-du3| son of Geme-dardu
nig2-ka9-ak lu2-sa6-i3-zu| Account of Lu-sa-izu, 
mu {d}szu-{d}suen lugal-e ma-da za-ab-sza-li{ki} mu-hul| year: “Shu-Suen, the king, the lands of Zabshali destroyed.” 
1(disz) ninda| 1 ninda 
1(gesz'u) 4(gesz2) 5(disz) udu masz2 hi-a| 845 various sheep and goats,
kur-kur du3-a-bi ba-an-da-szu2-am3| all the nations were overwhelmed, 
nig2-ka9-ak du11-ga| the account of Duga, 
szunigin 1(u) 7(disz) geme2 1(barig) 4(ban2)-ta| Total: 17 female workers, 1 barig 4 ban2 (= 100 sila3) each 
a2-szu-giri3-ni lal3-e ku7-ku7-de3 ga2-e mu-un-ku7-ku7-da| His limbs (are) sweet honey that sweetens me(?) 
nig2 ni2-ga2| my own possessions, 
mu mu-ni-gar| I have set(?) as the name of him. 
gu4 zubi| Zubi ox (hairy ox) 
udu-nita2 u8 zi-bi szu ba-ba-ra-da| that the rams be let loose on the healthy ewes,
engar gu4-ra-bi| and their ox-(driving) farmers 
sza3-gar-e igi-bi im-gurum-me-e sa-bi im-lug-gu2-ne| In hunger they were bowing their heads and twisting their muscles 
gal-le-esz mu-na-an-gun3| and made it grandly colorful. 
{d}ga-sza-an-mar{ki} e2-bi gu2-ab-ba{ki} musz3 mi-ni-in-ga-am3 amasz-a-ni lil2-la2| Ninmar has ceased in the temple in Gu'abba, her sheepfold is an empty wind 
en ki-ag2| the beloved en priest 
{d}en-lil2-la2-ka| of Enlil, 
zu2-keszda ki-sur-bi za3-zu u3-bi2-gi a-ga-zu nam-en-bi ak-ab = %a kip-pat ki-sur-ri-szu2-nu ana i-di-ka ter-ri-ma e-disz-szi-ka be-el| Do take for yourself the entire extent of their territory, exercise alone the ruling of them!
e2-tum| xxx 
1(disz) ur-e11-e| 1: Ur-e’e; 
kar-zi-da-ka| xxx 
LAGAR+HUL2| medusa (?) 
uru17-gu10 gul-gul-de3| Therefore when they have ordered(!) my city to be destroyed 
ama-ni dab-ba-ba6 musz3 mi-ni-in-ga-am3 amasz-a-ni lil2-la2| Her mother, Abbaba, has ceased there, her sheepfold is an empty wind 
ap-su-um eridu{ki} i-na pi-x| When he built the Abzu of Eridu 
3(ban3) i3-gesz-ta| or 3 ban3 of vegetable oil  
e ki-sur-ra| or over the levee of the boundary territory 
sza3 lagasz{ki}| in Lagash, 
2(disz) geme2-{d}li9-si4| (and) 2 (for) Geme-Lisi 
ub3 zabar nu-gal2-la ki-bi-sze3 im-mi-in-e3| where there were no bronze ub drums, he despatched some to their places. 
6(disz) eme6| 6 eme6-jennies, 
{d}gilgamesz3 lugal kur-ra-ke4| to Gilgameš, the king of the nether world, 
igi du-si-sza| before Dusiša, 
ka-ku3-ga-ni| Ka-kugani, 
u3 ki-gal 2(disz)-bi| and two socles belonging to them.
dingir szub-ba ki-bi gi4-gi4| Who restores a fallen god to its place 
si e-na-sa2| he put in proper order for him. 
uzu giri3-pad-ra2 hul gig| hating bone 
gu2-bi im-ta-zi| I lifted from their necks, 
ug3 szar2-ra nig2 bi2-in-du11-ga-a in-de3-a-gen-na-am3| Enlil found agreement in what he had said to the numerous people! 
igi {d}nanna-ma dumu i3-li2-i-din-nam| before Nannama, son of Ilī-i(d)dinam;
e2-ninnu-anzu2{muszen}-babbar2 3(u) kusz3-am3| the Eninnu with a White Thunderbird, 30 cubits (in height)  
mu ha-ar-szi{ki} ba-hul| year: “Ḫarsi was destroyed.” 
{d}nanna he2-me-en| of Nanna may I be, 
sza3-bi su-ga| therefroms, restitutions, of 
szu-na mu-ni-gi4| he returned to his control.
ki-be2 ha-na-ab-gi4-gi4| May he make restitution! 
e2-gal lugal-la-ka DU-DU he2-du7-bi-me-en| In the palace of the king, I am the ornament of movement 
1(barig) 4(disz) {d}utu-kam| 60 litres (of barley) 4 units (for) Utu-kam
a-ka-de3{ki}| of Agade: 
buru14 ama-bi gi4-gi4| the harvest the obligation will discharge; 
szunigin 8(gesz2) 2(u) 5(disz) ninda gid2| Total: 505 ninda length, 
gu-du-du| Gududu, 
sza3-ge de6-a| taken by the heart 
nu-banda3-gu4 ur-am3-ma| oxen manager: Ur-amma, 
2(u) 4(asz) 1(barig) 4(ban2) la2 1(disz) sila3 sze gur| 24 gur 1 barig 4 ban2 less 1 sila3 barley 
dumu lu2-{d}utu| son of Lu-Utu, 
i3-tusz-a| (that slave) has lived
3(gesz'u) 3(gesz2) ku6 sag-kur2| 1,980 “headed” fish, 
gaba-ra mu pa3-da-mu-sze3 {d}ki-szar2 mah-a mu sa4-zu he2-em = %a ana mi-hi-ir zi-kir szu-me-ia an-tum2 s,ir-tu4 lu-u2 ni-bit szu-me-ki-ma| Corresponding to my called name, may Exalted Kišar/Antu be your called name! 
sza3 ku3-ta e3-a ama ugu-ni-ir diri-ga| One who emerged from the holy womb superior to her birth mother 
lu2 e2 lugal-na du3-dam| For the man, building his kings house, 
iti diri sze-sag11-ku5| to the month, extra: “Harvest,” 
esz3 dur-an-ki-sze3| to the shrine Duranki, 
lugal ba-gara2| king of the Bagara (precinct), 
nigar{gar}-ki-du10 engar| Nigar-kidu, the plowman; 
mu ma2 dara3-abzu ba-ab-du8| year “The barge Dara-abzu(-of-Enki) was caulked.” 
abzu al-du3-e eridu{ki} al-tar-ra| (The hoe) was building the Abzu, Eridu was the work assignment(?) 
u4 3(u)-kam| 30th day; 
nin uru16-na-ke4| the powerful lady, 
ku3-bi sze u3 masz2-bi| the silver, the barley and its interest
lu2-du10-ga dumu he2-ma-du| xxx 
bad3 iri-ku3-ga| The walls of the Holy City 
lugal unu{ki}-ga e2-a-ni| king of Uruk, her temple 
zabar-dab5 maszkim| the zabardab was the requisitioner; 
1(disz) {d}lugal-kur2-elam| 1: Lugal-kur-elam, 
nig2 {gesz}tukul-a-gin7 1/3(disz) ma-na| with something like a weapon, 1/3rd mina
2(ban2) esza| 2 ban2 eša-flour
iri-ni u6 mu-e| and his city gave him acclaim.
mu us2-sa ur-bi2-lum{ki} ba-hul| year after: “Urbilum was destroyed.” 
szesz ki-ag2| beloved brother 
4(disz) udu a-lum 1(disz) udu 8(disz) gukkal| 4 aslum sheep, 1 sheep, 8 fat-tailed sheep, 
in-dab5-dab5 szu-ba gesz i3-gar| he captured and put fetters on their hands.
a ki-a he2-da-a-gi4| and hold back the waters upon the earth. 
1(gesz2) 5(u) 6(disz)| (total:) 116,
mu-na-ak-a| he made,
suhusz-bi| its foundations 
nu-banda3 ur-{d}nin-bara2| superintendent: Ur-Ninbara,
ku3-sig17 sahar-ba| Gold in its ore 
ki dadag-ga-a| on a pure place, 
u4 da-ri2-sze3| for an eternity of days!
ugula su-su-dam| the foreman, to be replaced; 
a-gar3 nigin2| one frequenting the arable tract 
zi-ga| Expenditure
nar sa| player of string instrument 
dumu zu-zu um-mi-a nibru{ki}-a ad-da-zu na-ab-be2-a| Son of Zuzu, master (scribe) of Nibru, it is (him who) speaks (thusly) 
ug3 sag-ge6-ga numun zi ib2-i-i-a| and the black-headed people prolificly multiplied, 
i3-ha-asz| has split open,
mu-na-an-szum2-ma-a| he had given,  
u3-mu-un-e3-esz er2-bi {d}a-nun-na-ke4-ne| If the Anuna gods emerge tearfully, 
lu2 ki-umun2-ma du14 al-ak-e-a| Anyone who has quarreled in the place of learning 
nam-ti li-ri-isz-ga-am-lum dumu-munus-mu| for the life of Lirīš-gamlum my daughter 
a ge6-a kur-ta nam-tar-ra| Flood water from the mountain destined.
me gesz-hur| who the divine powers and divine plans 
an-ne2 e-ne-eg3-bi ba-ra-mu-un-gur| But An did not change that word. 
ensi2-ke4 a2 in-da-na-an-ag2| the governor gave these instructions to him. 
e2-a ti-la he2-a| may it be a living thing in the temple.
1(u) 6(asz) gug2| 16 cakes,
gesz-gid2-da la2-a| punting pole deficit 
e2-ninnu i3-ti u4 zal-la kalam si-am3| It is Eninnu—Moon passing (through)—filling the land. 
dumu-sag {d}en-lil2-la2| first-born son of Enlil, 
mu us2-sa ha-ar-szi{ki} u3 ki-masz{ki} ba-hul| year after “Ḫarši and Kimaš were destroyed.” 
eridu{ki} ba-szub| Eridu fell, 
kusz-la2 gada-la2 sag-a mu4-a| that the “skin-clad,” the “linen-clad,” and the “covered head”
u4-da lu2| when (that) person 
iri im-nigin2-nigin2| he shall be paraded around the town.
2(disz) gu4 mu 2(disz)| 2 bulls, 2 years (old), 
gu su3-ga| naked(?) flax, 
mu us2-sa an-sza-an{ki} ba-hul| Year following: "Anshan was destroyed." 
dam ki-ag2| the beloved wife 
{d}u4-sahar-ra e2-bi umma{ki}-a musz3 mi-ni-in-ga amasz-a-na lil2-e| Usaḫara has abandoned that house Umma and has let the breezes haunt her sheepfold. 
a mu-na-ru| he dedicated it to him.
lugal zi-sza3-gal2 ukken-za he2-me-en| May you be a breath-of-life king in your assembly! 
lugal-zu {d}szakkan szusz3-zu bar-rim4-ma ki-nu2-da-zu| (As for) you, Iškur (is) your master, Sumuqan (is) your groom, and the desert (is) your bed 
{d}i-din-{d}da-gan| Iddin-Dagan,
mu us2-sa {d}szu-{d}suen lugal uri5{ki}-ma-ke4 bad3 mar-tu mu-ri-iq-ti-id-ni-im mu-du3| year following: “Šū-Suen, king of Ur, the Amorite wall (called) mūriq-tidnim erected.” 
2(u) la2 1(disz) nu-banda3-gu4 2(u)-ta| 20 less 1 oxen managers at 20 each; 
an-bar7-GAN2 u4 zalag e3-a u4-mud-e ba-da-an-ku4| Mid-day, (which usually) brings out bright sunlight, brought darkness along with it(!?) 
sipa sza3 du10-du10| shepherd who pleases the heart
igi s,i-li2-esz18-dar dumu ip-qu2-sza| before Ṣi(l)li-ištar, son of Ipquša.
1(gesz2) ninda 2/3(asz) kasz 5(ban2) ad-da dumu| 60 breads 2/3 (jar of) beer at 5 ban2, for Adda, son of 
mu si-mu-ru-um{ki} ba-hul| Year: “Simurum was destroyed.” 
kisz{ki}| Kish was of the kingship, gušur was king 
1(u) 3(asz) 1(barig) sze gur| 13 gur 1 barig; 
sirara3{ki} ki-tusz ki ag2-ga2-ni hul-gal2-e ba-an-szum2| Sirara, her beloved dwelling, was handed over to the evil ones. 
ugula e2-a-lu-bi| overseer: Ea-lubi; 
ur-nig2 dumu lugal-gaba| Ur-nig, son of Lugal-gaba, 
sza3 du6-ku3-ge e2-amar-ra u3 sza3 gu2-edin-na| xxx 
szabra sanga-ne| (for) the šabra (and) sanga administrators;
su6| beard; 
7(disz) gin2 igi-5(disz)-gal2| 7 1/5 shekels, 
en-nu bad3-da| Watch of the wall,
a2 erin2-na-bi u4 4(u) 8(disz)-kam| its laborers’ work is 48 days.
su6 za-gin3 sud4-sud4 he2-a-u5| the one adorned with a lapis-lazuli beard rides high indeed! 
ur-{d}namma gen-na-ni ug3 mu-un-zu-usz kur-ra za-pa-ag2 mu-un-gar| As they announced Ur-Namma's coming to the people, a tumult arose in the nether world. 
nin-bi nin nig2-gur11-e ki ag2| Its lady, the lady who loves possessions, 
u4 5(disz)-sze3 im-du8-a ak| 5 workdays, plastering done; 
GAN2-gu4| of GANgu-fields; 
gu3-de2-a| With exclamations 
{d}dumu-zi-de3 sag u2-a mu-ni-in-kinx(UR4)-kinx(UR4)-ne nu-mu-un-pa3-de3-esz| Dumuzi! They were seeking his head in the plants, no one found him 
sza3-bi-sze3| into it 
e2-kisz-nu-gal2-la-ka| and the Ekišnugal temples,
an-ne2 ba-te im szeg3-szeg3| approached heaven (and) the clouds bring (no) rain. 
ka-zal-lu{ki} szu-ga2 x he2-bi2-sa2| Kazallu shall be reached by(!?) my hand 
{d}szara2-kam| Šara-kam: 
ensi2 umma{ki}| governor of Umma. 
{d}utu an-na-ta inim mu-ni-ib-gi4-gi4| Utu from heaven was replying to him 
{d}inanna nin-ni| to Inanna his mistress 
dumu ku-du-ur-ma-bu-uk| son of Kudur-mabuk, 
1(disz) me 1(gesz2) 3(u) 1(disz) sila4 dili-ur4| 191 male shearlings: 
a-esztub{ku6} ba-zi-ge-en e-sze| “I raise the carp flood” he said. 
{d}lamma e2-kisz-nu-gal2| guardian angel of the Ekišnugal 
2(disz) sa gi ninda gur4-ra| 2 bundles reed, fatbreads,  
ARAD2 su-mu-el3| servant of Sūmû-El. 
1(bur3) 2(esze3) 3(iku) 1/2(iku) 1/4(iku) GAN2 1(u) la2 1/2(disz)-ta| 1 bur3 2 eše3 3 3/4 iku surface area at 10 less 1/2 each, 
buranun-na-bi-da %a i7| River 
alan-na4| of a stone statue.
nig2-ka9-ak ur-{d}dumu-zi-da| account concerning Ur-Dumuzida; 
iti ezem-{d}szul-gi| month: “Šulgi;” 
1(disz) 1/2(disz) sila3 i3-gesz| 1 1/2 sila3 of plant oil,
e2-kiszib3-ba-sze3| to the sealed warehouse; 
usu di4-di4-la2-zu-ne u3 lu2 sze de5-de5-ga-zu-ne| The force of your “little ones” and your grain gatherers 
1(disz) gu4 mu 2(asz)| 1 ox of 2 years 
szunigin 1(gesz2) 3(u) 5(disz) u8 1(u) 3(disz) kir11| total: 95 ewes, 13 female lambs; 
ensix(GAR.PA.TE.SI) adab| (was) the governor of Adab. 
gesznu3 mu-ni-gub| he set up the bed.
udu szurum6-ma| sheep of the litter 
a-sza3 sze-ba ma-ra-ba szu nu-um-gid2-de3| the barley of the field will be offered to you but not accepted 
mumun| exorcist/incantation priest 
e2-szu-si3-ga-bi mu-dagal| he widened its Ešusiga house, 
a-sza3 pu-us2| xxx 
a-nigin2-e nigin-na-gu10-ne| As I spin around the lake of drinks, 
kesz3{ki}-ginx rib-ba lu2 szi-in-ga-tum2-mu| Will anyone else bring forth something as great as Keš? 
inim {d}nin-isin2{+si-na} musz3 lugal-ga2-kam| The word of Ninisina, the “it is enough” of my king 
lu2-ba {d}en-lil2 lugal-mu {d}nin-lil2 nin-mu| that person may Enlil my master, Ninlil my mistress,
a2 zi3 ar3-a sa2-du11 ensi2| labor of flour-milling, rations for the governor;
ir-si-im-bi-sze3 im-ma-an-nigin2-nigin2-ne-esz| and they surrounded him at its scent. 
{gi}ma-sa2-ab i3-gur3 asil3-la2 i3-du11| The masab basket was carried, the asila was intoned 
{d}inanna| For Inanna, 
ma-ra-szum2| I have given you. 
{gesz}tug2-tug2| type of loom 
{d}utu an-ur2-ra i-in-nu2 sahar kur-ra zal-am3| Utu lay down at the horizon, dust passed over the mountains. 
{d}dumu-zi tug2 mah-a i-im-mu12 mah-a dur2-a dur2 im-ma-gar| There was Dumuzi clothed in a magnificent garment and seated magnificently on a throne. 
GAN2 e2-munus| and the fields of the Woman’s House, 
gaba-gal2 dingir-re-ne-ka| Of the most forceful of all the gods, 
a-za-ha-ar{ki}| Azaḫar,
ib2-ta-e3| has rented.
{d}nin-gir2-su| Ningirsu, 
kab2-ku5 {d}szul-pa-e3-ta sahar zi-ga| from the water installation at the Šulpa’e( field) earth excavated, 
mu en eridu{ki} ba-hun| year: “The high-priestess of Eridu was installed.” 
lugal kadra-sze3 masz2| I am the king who holds the goat kid to his chest as a greeting gift 
u3-u8-a sza3-gu10 du11-ga-ni| When she said “Oh my heart,” 
